station_id,visit_date,visit_time,visit_type,campaign_opened,observers,camera_unit_id,camera_working,camera_datetime_observed,clock_adjusted,camera_datetime_after,card_changed,batteries_changed,moved,lat,lon,height_m,bearing_deg,detection_distance_m,notes,source_sheet,data_flags
CT24,2026-05-15,10:37,revision,,,,,,,,yes,yes,,-39.43359,-71.73804,,,,,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT25,2025-02-05,17:13,instalacion,otono_2025,SC,,,,,,,,,,,,,,"Ribera de estero, coihue, mañío, tepa",Registro de instalacion,
CT25,2025-06-10,,revision,primavera_2025,,,,,,,yes,yes,,-39.42929,-71.74325,2,,,"Se instala nueva TC, TC anterior se encuentra ""ON"" pero no responde y tiene humedad al interior | Se subió 2 m aprox sobre el nivel del suelo",Registro de revisión_Otoño 2025,"date_ambiguous_source: '10/06/2025' read d/m/y as 2025-06-10; camera_replaced from field remark — clock chronology must break here; height_m approximate, from field remark"
CT25,2026-01-14,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,
CT25,2026-05-15,10:07,revision,,,,,,,,yes,yes,,-39.42929,-71.74325,,,,,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT26,2025-02-05,18:00,instalacion,otono_2025,SC,,,,,,,,,,,,,,"Coihue, roble, raulí, coilhue seco",Registro de instalacion,
CT26,2025-06-10,,revision,primavera_2025,,,,,,,yes,yes,,-39.42908,-71.74894,2,,,Se subió 2 m aprox sobre el nivel del suelo,Registro de revisión_Otoño 2025,"date_ambiguous_source: '10/06/2025' read d/m/y as 2025-06-10; height_m approximate, from field remark; coord_dms_as_decimal: 39.25447 is out of range as decimal but is -39.42908 read as degrees-minutes-seconds; converted; coord_dms_as_decimal: 71.44562 is out of range as decimal but is -71.74894 read as degrees-minutes-seconds; converted"
CT26,2026-01-14,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,
CT26,2026-05-15,10:30,revision,,,,,,,,yes,yes,,-39.42908,-71.74894,,,,Configuración previa: Cam only; se modifico a Hybrid,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time; coord_dms_as_decimal: 39.25447 is out of range as decimal but is -39.42908 read as degrees-minutes-seconds; converted; coord_dms_as_decimal: 71.44562 is out of range as decimal but is -71.74894 read as degrees-minutes-seconds; converted"
CT27,,,unrecorded,,,,,,,,,,,,,,,,CT27 has no install record; it appears only on: Registro de revisión_Primavera .,(absent),STATION EXISTS AND HAS DATA but the workbook never recorded its install. Confirmed by Felipe 2026-08-11: do not delete. RESOLVED 2026-08-24: both deployment dates have since been reconstructed and are carried on the two CT27 revision rows below; this row remains as provenance for the gap itself.
CT27,2025-12-11,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,"date_reconstructed 2026-08-24: the Excel reading 2025-11-12 was a day/month transposition. Resolved to 2025-12-11, confirmed by Felipe and corroborated by CT27's own first frame at 2025-12-11 12:49:01 and by the GPS waypoint (15:52:56 UTC = 12:52:56 local, 3m55s after the first frame). Recorded as an install anchor in otono_2026/deployment_anchors.csv; this row is the field-record half.; campaign_closed_dropped 2026-08-26: the legacy file recorded 'primavera_2025' for this visit; derived from CT27's own visit sequence it closes nothing. Felipe 2026-08-26: the recorded value is wrong — the station has no such deployment in deployments.csv, none in the canonical table, and no earlier visit to have opened it. Kept here because deleting the reason is how it returns."
CT27,2026-05-14,,revision,,,,,,,,,,,,,,,,"CT27 is absent from 'Registro de revision Mayo 2026', which holds 26 rows; its card was nonetheless collected (315 frames, last 2026-05-14 14:32:04).",(reconstructed),"date_reconstructed 2026-08-24: NOT taken from any field sheet. CT27's last frame (2026-05-14 14:32:04) falls between CT17's (14:07:45) and CT21's (15:15:15), and both were retrieved 2026-05-14, so CT27 was collected on that trip. Confirm against the physical May 2026 form when available."
