campaign,station,deployment,segment,n_images,camera_start,camera_end,reason,candidate_frames,person_vehicle_frames,mmdd_mismatch,mismatch_at_midnight,mismatch_verdict,coherent,recoverable_by_anchor
otono_2025,CT19,CT19,6,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,7,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,8,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,9,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,10,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,11,4,2017-01-01 00:00:00,2017-01-01 18:09:33,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,12,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,13,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,14,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,15,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,16,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,17,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,18,14,2017-01-01 00:00:00,2017-01-01 20:37:39,filename_mmdd_disagrees_with_datetime,2,0,12,0,GENUINE (12 of 12 away from midnight),False,NO - clock incoherent
otono_2025,CT19,CT19,19,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,20,4,2017-01-01 00:00:00,2017-01-01 17:31:08,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
