campaign,CT,install,install_own_first,install_prev_card_last,retrieval,retrieval_own_last,retrieval_next_card_first
otono_2025,CT19,UNCONFIRMED,INCOHERENT: 03100001.JPG  2017-01-01 00:04  (outside 2024-09..2025-06),-- first campaign --,OK,INCOHERENT: 01010457.JPG  2017-01-01 00:00  (outside 2024-09..2025-06),coherent: 06060001.JPG  2025-06-06 03:37
otono_2026,CT18,OK,coherent: 11190001.JPG  2025-11-19 06:41,coherent: 10120093.JPG  2025-09-12 03:53,UNCONFIRMED,INCOHERENT: 01310453.JPG  2017-04-02 19:48  (outside 2025-11..2026-05),-- last campaign --
