visit,CT,dir_before,dir_after,last_file_before,last_stamp_before,first_file_after,first_stamp_after,inferred_visit_date,confidence,verdict
primavera_2025 -> otono_2026,CT07,CT07,CT07,09120433.JPG,2025-08-29 12:56:15,01140001.JPG,2026-01-14 14:49:31,2026-01-14,MEDIUM,witnesses disagree by 138.1 d — old card suspect
primavera_2025 -> otono_2026,CT08,CT08,CT08,10270999.JPG,2025-09-09 07:13:22,01130001.JPG,2026-01-13 20:22:12,2026-01-13,MEDIUM,witnesses disagree by 126.5 d — old card suspect
primavera_2025 -> otono_2026,CT09,CT09,CT09,11210082.JPG,2025-11-21 11:43:36,11220001.JPG,2025-11-22 14:19:57,2025-11-22,HIGH,BOTH witnesses agree within 1.1 d
primavera_2025 -> otono_2026,CT10,CT10,CT10,11250215.JPG,2025-11-25 12:49:34,11250001.JPG,2025-11-25 13:04:56,2025-11-25,HIGH,BOTH witnesses agree within 0.0 d
primavera_2025 -> otono_2026,CT11,CT11,CT11,08290999.JPG,2025-08-29 14:31:28,01050001.JPG,2026-01-05 09:27:24,2026-01-05,MEDIUM,witnesses disagree by 128.8 d — old card suspect
primavera_2025 -> otono_2026,CT12,CT12,CT12,11250167.JPG,2025-11-25 10:01:42,11250001.JPG,2025-11-25 11:25:13,2025-11-25,HIGH,BOTH witnesses agree within 0.1 d
primavera_2025 -> otono_2026,CT13,CT13,CT13,11250107.JPG,2025-11-25 10:43:17,11250001.JPG,2025-11-25 11:57:30,2025-11-25,HIGH,BOTH witnesses agree within 0.1 d
primavera_2025 -> otono_2026,CT14,CT14,CT14,103EK113_06060999.JPG,2025-06-05 17:31:02,01080001.JPG,2026-01-08 16:01:02,2026-01-08,MEDIUM,witnesses disagree by 216.9 d — old card suspect
primavera_2025 -> otono_2026,CT15,CT15,CT15,11250073.JPG,2025-11-25 11:45:12,11250001.JPG,2025-11-25 12:59:48,2025-11-25,HIGH,BOTH witnesses agree within 0.1 d
primavera_2025 -> otono_2026,CT16,CT16,CT16,05010076.JPG,,11250001.JPG,2025-11-25 13:30:11,2025-11-25,MEDIUM-HIGH,only the FRESH card is plausible — use it
primavera_2025 -> otono_2026,CT17,CT17,CT17,01010009.JPG,2025-06-04 14:58:27,01110001.JPG,2026-01-11 10:28:10,2026-01-11,MEDIUM,witnesses disagree by 220.8 d — old card suspect
primavera_2025 -> otono_2026,CT18,CT18,CT18,10120094.JPG,2025-09-12 03:53:14,11190001.JPG,2025-11-19 06:41:40,2025-11-19,MEDIUM,witnesses disagree by 68.1 d — old card suspect
primavera_2025 -> otono_2026,CT19,CT19,CT19,11210191.JPG,2025-11-20 12:35:33,11210001.JPG,2025-11-21 12:19:52,2025-11-21,HIGH,BOTH witnesses agree within 1.0 d
primavera_2025 -> otono_2026,CT20,CT20,CT20,12030401.JPG,2025-11-21 17:50:04,12030001.JPG,2025-12-03 14:51:00,2025-12-03,MEDIUM,witnesses disagree by 11.9 d — old card suspect
primavera_2025 -> otono_2026,CT21,CT21,CT21,10020039.JPG,2025-08-28 09:55:35,01130001.JPG,2026-01-13 16:11:57,2026-01-13,MEDIUM,witnesses disagree by 138.3 d — old card suspect
primavera_2025 -> otono_2026,CT22,CT22,CT22,IMAG0023.JPG,2026-01-12 00:13:03,01160001.JPG,2026-01-16 09:58:28,2026-01-16,MEDIUM,witnesses disagree by 4.4 d — old card suspect
primavera_2025 -> otono_2026,CT23,CT23,CT23,12080998.JPG,2025-10-28 07:57:20,01140001.JPG,2026-01-14 11:06:47,2026-01-14,MEDIUM,witnesses disagree by 78.1 d — old card suspect
primavera_2025 -> otono_2026,CT24,CT24,CT24,01140453.JPG,2026-01-14 10:19:20,01140001.JPG,2026-01-14 11:35:28,2026-01-14,HIGH,BOTH witnesses agree within 0.1 d
primavera_2025 -> otono_2026,CT25,CT25,CT25,09070021.JPG,2025-09-06 20:46:07,01140001.JPG,2026-01-14 12:05:51,2026-01-14,MEDIUM,witnesses disagree by 129.6 d — old card suspect
primavera_2025 -> otono_2026,CT26,CT26,CT26,01140039.JPG,2026-01-14 12:17:39,01140001.JPG,2026-01-14 13:33:07,2026-01-14,HIGH,BOTH witnesses agree within 0.1 d
