deployment,dcim_folder,original_name,original_relpath,flat_name,size_bytes,mtime,action
CT02,100EK113,06280055.JPG,100EK113\06280055.JPG,06280055.JPG,3994606,2025-06-28 00:48:59,moved
CT02,100EK113,06280056.MOV,100EK113\06280056.MOV,06280056.MOV,89934709,2025-06-28 00:49:16,moved
CT02,100EK113,08030057.JPG,100EK113\08030057.JPG,08030057.JPG,4050729,2025-08-03 19:42:50,moved
CT02,100EK113,08030058.JPG,100EK113\08030058.JPG,08030058.JPG,4054081,2025-08-03 19:42:53,moved
CT02,100EK113,08030059.JPG,100EK113\08030059.JPG,08030059.JPG,4053520,2025-08-03 19:42:52,moved
CT02,100EK113,08030060.MOV,100EK113\08030060.MOV,08030060.MOV,91606919,2025-08-03 19:43:10,moved
CT02,100EK113,08140061.JPG,100EK113\08140061.JPG,08140061.JPG,5756639,2025-08-14 13:03:38,moved
CT02,100EK113,08140062.JPG,100EK113\08140062.JPG,08140062.JPG,5826422,2025-08-14 13:03:38,moved
CT02,100EK113,08140063.JPG,100EK113\08140063.JPG,08140063.JPG,5839166,2025-08-14 13:03:40,moved
CT02,100EK113,08140064.MOV,100EK113\08140064.MOV,08140064.MOV,117109529,2025-08-14 13:03:56,moved
CT02,100EK113,08160065.JPG,100EK113\08160065.JPG,08160065.JPG,6095950,2025-08-16 10:53:04,moved
CT02,100EK113,08160066.JPG,100EK113\08160066.JPG,08160066.JPG,6093901,2025-08-16 10:53:04,moved
CT02,100EK113,08160067.JPG,100EK113\08160067.JPG,08160067.JPG,6081717,2025-08-16 10:53:07,moved
CT02,100EK113,08160068.MOV,100EK113\08160068.MOV,08160068.MOV,120038222,2025-08-16 10:53:22,moved
CT02,100EK113,08170069.JPG,100EK113\08170069.JPG,08170069.JPG,5528344,2025-08-17 07:45:46,moved
CT02,100EK113,08170070.JPG,100EK113\08170070.JPG,08170070.JPG,5536614,2025-08-17 07:45:48,moved
CT02,100EK113,08170071.JPG,100EK113\08170071.JPG,08170071.JPG,5509785,2025-08-17 07:45:50,moved
CT02,100EK113,08170072.MOV,100EK113\08170072.MOV,08170072.MOV,89202291,2025-08-17 07:46:06,moved
CT02,100EK113,08170073.JPG,100EK113\08170073.JPG,08170073.JPG,5905525,2025-08-17 08:04:52,moved
CT02,100EK113,08170074.JPG,100EK113\08170074.JPG,08170074.JPG,5871458,2025-08-17 08:04:55,moved
CT02,100EK113,08170075.JPG,100EK113\08170075.JPG,08170075.JPG,5872817,2025-08-17 08:04:54,moved
CT02,100EK113,08170076.MOV,100EK113\08170076.MOV,08170076.MOV,117188998,2025-08-17 08:05:10,moved
CT02,100EK113,08170077.JPG,100EK113\08170077.JPG,08170077.JPG,6189100,2025-08-17 08:36:25,moved
CT02,100EK113,08170078.JPG,100EK113\08170078.JPG,08170078.JPG,6172395,2025-08-17 08:36:26,moved
CT02,100EK113,08170079.JPG,100EK113\08170079.JPG,08170079.JPG,6184489,2025-08-17 08:36:26,moved
CT02,100EK113,08170080.MOV,100EK113\08170080.MOV,08170080.MOV,117953923,2025-08-17 08:36:44,moved
CT02,100EK113,08170081.JPG,100EK113\08170081.JPG,08170081.JPG,5907275,2025-08-17 08:40:28,moved
CT02,100EK113,08170082.JPG,100EK113\08170082.JPG,08170082.JPG,6121579,2025-08-17 08:40:30,moved
CT02,100EK113,08170083.JPG,100EK113\08170083.JPG,08170083.JPG,6133401,2025-08-17 08:40:30,moved
CT02,100EK113,08170084.MOV,100EK113\08170084.MOV,08170084.MOV,116479966,2025-08-17 08:40:46,moved
CT02,100EK113,08170085.JPG,100EK113\08170085.JPG,08170085.JPG,6242433,2025-08-17 09:30:34,moved
CT02,100EK113,08170086.JPG,100EK113\08170086.JPG,08170086.JPG,6151798,2025-08-17 09:30:34,moved
CT02,100EK113,08170087.JPG,100EK113\08170087.JPG,08170087.JPG,6175968,2025-08-17 09:30:36,moved
CT02,100EK113,08170088.MOV,100EK113\08170088.MOV,08170088.MOV,119193829,2025-08-17 09:30:52,moved
CT02,100EK113,08170089.JPG,100EK113\08170089.JPG,08170089.JPG,6151547,2025-08-17 10:29:42,moved
CT02,100EK113,08170090.JPG,100EK113\08170090.JPG,08170090.JPG,6178402,2025-08-17 10:29:42,moved
CT02,100EK113,08170091.JPG,100EK113\08170091.JPG,08170091.JPG,6156808,2025-08-17 10:29:44,moved
CT02,100EK113,08170092.MOV,100EK113\08170092.MOV,08170092.MOV,117177101,2025-08-17 10:30:00,moved
CT02,100EK113,08170093.JPG,100EK113\08170093.JPG,08170093.JPG,6089297,2025-08-17 11:52:03,moved
CT02,100EK113,08170094.JPG,100EK113\08170094.JPG,08170094.JPG,6070959,2025-08-17 11:52:02,moved
CT02,100EK113,08170095.JPG,100EK113\08170095.JPG,08170095.JPG,6016096,2025-08-17 11:52:04,moved
CT02,100EK113,08170096.MOV,100EK113\08170096.MOV,08170096.MOV,114868156,2025-08-17 11:52:20,moved
CT02,100EK113,08280097.JPG,100EK113\08280097.JPG,08280097.JPG,4186803,2025-08-28 19:57:46,moved
CT02,100EK113,08280098.JPG,100EK113\08280098.JPG,08280098.JPG,4186129,2025-08-28 19:57:48,moved
