station,camera_num,deployment,file_name,camera_datetime,candidate_kind,md_conf,clock_segment,segment_needs_anchor,suggested_anchor_type,rel_path
CT03,3,CT03,07290083.JPG,2025-07-29 15:14:45,vehicle_labelled,0.879,0,False,mid_visit,CT03
CT03,3,CT03,07290084.JPG,2025-07-29 15:14:46,vehicle_labelled,0.829,0,False,mid_visit,CT03
CT03,3,CT03,07290086.JPG,2025-07-29 15:17:18,vehicle_labelled,0.398,0,False,mid_visit,CT03
CT03,3,CT03,08060090.JPG,2025-08-06 13:56:52,vehicle_labelled,0.961,0,False,mid_visit,CT03
CT03,3,CT03,08060091.JPG,2025-08-06 13:56:53,vehicle_labelled,0.97,0,False,mid_visit,CT03
CT03,3,CT03,08060092.JPG,2025-08-06 13:56:54,vehicle_detection,0.283,0,False,mid_visit,CT03
CT03,3,CT03,08060093.JPG,2025-08-06 14:00:12,vehicle_labelled,0.972,0,False,mid_visit,CT03
CT03,3,CT03,08060094.JPG,2025-08-06 14:00:13,vehicle_labelled,0.819,0,False,mid_visit,CT03
CT03,3,CT03,08120096.JPG,2025-08-12 14:12:13,vehicle_labelled,0.706,0,False,mid_visit,CT03
CT03,3,CT03,08120097.JPG,2025-08-12 14:12:14,vehicle_labelled,0.919,0,False,mid_visit,CT03
CT03,3,CT03,08120099.JPG,2025-08-12 14:12:23,vehicle_labelled,0.978,0,False,mid_visit,CT03
CT03,3,CT03,08120100.JPG,2025-08-12 14:12:24,vehicle_labelled,0.967,0,False,mid_visit,CT03
CT03,3,CT03,08120101.JPG,2025-08-12 14:16:57,vehicle_labelled,0.95,0,False,mid_visit,CT03
CT03,3,CT03,08120102.JPG,2025-08-12 14:16:58,vehicle_labelled,0.811,0,False,mid_visit,CT03
CT03,3,CT03,08130103.JPG,2025-08-13 14:02:21,human_labelled,0.893,0,False,mid_visit,CT03
CT03,3,CT03,08130104.JPG,2025-08-13 14:02:22,human_labelled,0.973,0,False,mid_visit,CT03
CT03,3,CT03,08260106.JPG,2025-08-26 13:30:28,vehicle_labelled,0.933,0,False,mid_visit,CT03
CT03,3,CT03,08260107.JPG,2025-08-26 13:30:29,vehicle_labelled,0.971,0,False,mid_visit,CT03
CT03,3,CT03,08260108.JPG,2025-08-26 13:30:30,vehicle_labelled,0.966,0,False,mid_visit,CT03
CT03,3,CT03,08260109.JPG,2025-08-26 13:36:48,vehicle_labelled,0.968,0,False,mid_visit,CT03
CT03,3,CT03,08260110.JPG,2025-08-26 13:36:49,vehicle_labelled,0.962,0,False,mid_visit,CT03
CT03,3,CT03,08260111.JPG,2025-08-26 13:36:50,vehicle_labelled,0.657,0,False,mid_visit,CT03
CT03,3,CT03,09020118.JPG,2025-09-02 16:22:17,human_labelled,0.777,0,False,mid_visit,CT03
CT03,3,CT03,09020119.JPG,2025-09-02 16:22:18,vehicle_labelled,0.796,0,False,mid_visit,CT03
CT03,3,CT03,09020120.JPG,2025-09-02 16:28:35,vehicle_labelled,0.886,0,False,mid_visit,CT03
CT03,3,CT03,09020121.JPG,2025-09-02 16:28:36,vehicle_detection,0.275,0,False,mid_visit,CT03
CT03,3,CT03,09040122.JPG,2025-09-04 09:44:28,human_labelled,0.953,0,False,mid_visit,CT03
CT03,3,CT03,09040123.JPG,2025-09-04 09:44:29,human_labelled,0.975,0,False,mid_visit,CT03
CT03,3,CT03,09040124.JPG,2025-09-04 11:23:40,human_labelled,0.971,0,False,mid_visit,CT03
CT03,3,CT03,09040125.JPG,2025-09-04 11:23:41,human_labelled,0.975,0,False,mid_visit,CT03
CT03,3,CT03,09040126.JPG,2025-09-04 16:11:07,vehicle_labelled,0.699,0,False,mid_visit,CT03
CT03,3,CT03,09040127.JPG,2025-09-04 16:11:08,vehicle_labelled,0.941,0,False,mid_visit,CT03
CT03,3,CT03,09040128.JPG,2025-09-04 16:15:53,vehicle_labelled,0.965,0,False,mid_visit,CT03
CT03,3,CT03,09040129.JPG,2025-09-04 16:15:53,vehicle_labelled,0.949,0,False,mid_visit,CT03
CT03,3,CT03,09050131.JPG,2025-09-05 09:27:37,vehicle_labelled,0.927,0,False,mid_visit,CT03
CT03,3,CT03,09050132.JPG,2025-09-05 09:42:23,vehicle_labelled,0.959,0,False,mid_visit,CT03
CT03,3,CT03,09050133.JPG,2025-09-05 09:42:24,vehicle_labelled,0.972,0,False,mid_visit,CT03
CT03,3,CT03,09050134.JPG,2025-09-05 10:06:19,vehicle_labelled,0.968,0,False,mid_visit,CT03
CT03,3,CT03,09050135.JPG,2025-09-05 10:06:20,vehicle_labelled,0.964,0,False,mid_visit,CT03
CT03,3,CT03,09050136.JPG,2025-09-05 10:09:09,vehicle_labelled,0.967,0,False,mid_visit,CT03
CT03,3,CT03,09050137.JPG,2025-09-05 10:09:10,vehicle_labelled,0.975,0,False,mid_visit,CT03
CT03,3,CT03,09100140.JPG,2025-09-10 14:09:17,vehicle_labelled,0.95,0,False,mid_visit,CT03
CT03,3,CT03,09100141.JPG,2025-09-10 14:09:18,vehicle_labelled,0.983,0,False,mid_visit,CT03
CT03,3,CT03,09100142.JPG,2025-09-10 14:12:25,vehicle_labelled,0.961,0,False,mid_visit,CT03
CT03,3,CT03,09100143.JPG,2025-09-10 14:12:26,vehicle_labelled,0.976,0,False,mid_visit,CT03
CT03,3,CT03,09110144.JPG,2025-09-11 12:22:55,vehicle_labelled,0.929,0,False,mid_visit,CT03
CT03,3,CT03,09110145.JPG,2025-09-11 12:22:56,vehicle_labelled,0.974,0,False,mid_visit,CT03
CT03,3,CT03,09110146.JPG,2025-09-11 13:13:09,vehicle_labelled,0.961,0,False,mid_visit,CT03
CT03,3,CT03,09110147.JPG,2025-09-11 13:13:10,vehicle_labelled,0.952,0,False,mid_visit,CT03
CT03,3,CT03,09170148.JPG,2025-09-17 10:02:36,human_labelled,0.962,0,False,mid_visit,CT03
CT03,3,CT03,09170149.JPG,2025-09-17 10:02:37,human_labelled,0.965,0,False,mid_visit,CT03
CT03,3,CT03,09230150.JPG,2025-09-23 08:46:15,vehicle_labelled,0.869,0,False,mid_visit,CT03
CT03,3,CT03,09230151.JPG,2025-09-23 08:46:16,vehicle_labelled,0.947,0,False,mid_visit,CT03
CT03,3,CT03,09230152.JPG,2025-09-23 08:52:16,vehicle_labelled,0.963,0,False,mid_visit,CT03
CT03,3,CT03,09230153.JPG,2025-09-23 08:52:17,vehicle_labelled,0.883,0,False,mid_visit,CT03
CT03,3,CT03,09280157.JPG,2025-09-28 14:32:13,vehicle_labelled,0.932,0,False,mid_visit,CT03
CT03,3,CT03,09280158.JPG,2025-09-28 14:32:13,vehicle_labelled,0.975,0,False,mid_visit,CT03
CT03,3,CT03,09280159.JPG,2025-09-28 14:36:01,vehicle_labelled,0.966,0,False,mid_visit,CT03
CT03,3,CT03,09280160.JPG,2025-09-28 14:36:02,vehicle_labelled,0.934,0,False,mid_visit,CT03
CT03,3,CT03,10090162.JPG,2025-10-09 12:51:37,vehicle_labelled,0.959,0,False,mid_visit,CT03
CT03,3,CT03,10090163.JPG,2025-10-09 12:51:43,vehicle_labelled,0.69,0,False,mid_visit,CT03
CT03,3,CT03,10090165.JPG,2025-10-09 12:58:12,vehicle_labelled,0.967,0,False,mid_visit,CT03
CT03,3,CT03,10090166.JPG,2025-10-09 12:58:13,vehicle_labelled,0.968,0,False,mid_visit,CT03
CT03,3,CT03,10090167.JPG,2025-10-09 13:24:02,vehicle_labelled,0.975,0,False,mid_visit,CT03
CT03,3,CT03,10090168.JPG,2025-10-09 13:24:03,vehicle_labelled,0.988,0,False,mid_visit,CT03
CT03,3,CT03,10090169.JPG,2025-10-09 13:25:53,vehicle_labelled,0.91,0,False,mid_visit,CT03
CT03,3,CT03,10090170.JPG,2025-10-09 13:25:54,vehicle_labelled,0.931,0,False,mid_visit,CT03
CT03,3,CT03,10090171.JPG,2025-10-09 13:26:11,vehicle_labelled,0.927,0,False,mid_visit,CT03
CT03,3,CT03,10090172.JPG,2025-10-09 13:26:12,vehicle_labelled,0.945,0,False,mid_visit,CT03
CT03,3,CT03,10090173.JPG,2025-10-09 13:26:18,vehicle_labelled,0.967,0,False,mid_visit,CT03
CT03,3,CT03,10090174.JPG,2025-10-09 13:26:19,vehicle_labelled,0.961,0,False,mid_visit,CT03
CT03,3,CT03,10090175.JPG,2025-10-09 13:27:44,vehicle_labelled,0.967,0,False,mid_visit,CT03
CT03,3,CT03,10090176.JPG,2025-10-09 13:27:45,vehicle_labelled,0.973,0,False,mid_visit,CT03
CT03,3,CT03,10150177.JPG,2025-10-15 13:33:26,vehicle_labelled,0.961,0,False,mid_visit,CT03
CT03,3,CT03,10150178.JPG,2025-10-15 13:33:27,vehicle_labelled,0.981,0,False,mid_visit,CT03
CT03,3,CT03,10150179.JPG,2025-10-15 13:36:51,vehicle_labelled,0.973,0,False,mid_visit,CT03
CT03,3,CT03,10150180.JPG,2025-10-15 13:36:52,vehicle_labelled,0.978,0,False,mid_visit,CT03
CT03,3,CT03,11280191.JPG,2025-11-28 18:55:47,human_labelled,0.941,0,False,mid_visit,CT03
CT03,3,CT03,11280192.JPG,2025-11-28 18:55:48,human_labelled,0.94,0,False,mid_visit,CT03
CT03,3,CT03,12020193.JPG,2025-12-02 07:49:09,vehicle_labelled,0.511,0,False,mid_visit,CT03
CT03,3,CT03,12020194.JPG,2025-12-02 07:49:10,vehicle_labelled,0.968,0,False,mid_visit,CT03
CT03,3,CT03,12020195.JPG,2025-12-02 07:59:45,vehicle_labelled,0.917,0,False,mid_visit,CT03
CT03,3,CT03,12020196.JPG,2025-12-02 07:59:46,vehicle_labelled,0.93,0,False,mid_visit,CT03
CT03,3,CT03,12020197.JPG,2025-12-02 15:42:51,human_labelled,0.696,0,False,mid_visit,CT03
CT03,3,CT03,12020198.JPG,2025-12-02 15:42:52,vehicle_labelled,0.819,0,False,mid_visit,CT03
CT03,3,CT03,12020199.JPG,2025-12-02 15:45:56,vehicle_labelled,0.925,0,False,mid_visit,CT03
CT03,3,CT03,12020200.JPG,2025-12-02 15:45:57,vehicle_labelled,0.888,0,False,mid_visit,CT03
CT03,3,CT03,12210223.JPG,2025-12-21 12:09:08,vehicle_labelled,0.971,0,False,mid_visit,CT03
CT03,3,CT03,12210224.JPG,2025-12-21 12:09:09,vehicle_labelled,0.935,0,False,mid_visit,CT03
CT03,3,CT03,12210225.JPG,2025-12-21 12:12:10,vehicle_labelled,0.851,0,False,mid_visit,CT03
CT03,3,CT03,12210226.JPG,2025-12-21 12:12:11,vehicle_labelled,0.934,0,False,mid_visit,CT03
CT03,3,CT03,12260234.JPG,2025-12-26 13:01:26,vehicle_labelled,0.912,0,False,mid_visit,CT03
CT03,3,CT03,01010236.JPG,2026-01-01 11:26:41,human_labelled,0.943,0,False,mid_visit,CT03
CT03,3,CT03,01010237.JPG,2026-01-01 11:26:42,human_labelled,0.952,0,False,mid_visit,CT03
CT03,3,CT03,01010238.JPG,2026-01-01 11:26:48,human_labelled,0.972,0,False,mid_visit,CT03
CT03,3,CT03,01010239.JPG,2026-01-01 11:26:49,human_labelled,0.948,0,False,mid_visit,CT03
CT03,3,CT03,01010240.JPG,2026-01-01 11:38:52,human_labelled,0.958,0,False,mid_visit,CT03
CT03,3,CT03,01010241.JPG,2026-01-01 11:38:53,human_labelled,0.948,0,False,mid_visit,CT03
CT03,3,CT03,01100253.JPG,2026-01-10 10:12:38,vehicle_labelled,0.876,0,False,mid_visit,CT03
CT03,3,CT03,01100257.JPG,2026-01-10 10:21:05,vehicle_labelled,0.924,0,False,mid_visit,CT03
CT03,3,CT03,01100258.JPG,2026-01-10 10:21:06,vehicle_labelled,0.873,0,False,mid_visit,CT03
CT03,3,CT03,01130274.JPG,2026-01-13 15:29:17,human_labelled,0.968,0,False,retrieval,CT03
CT03,3,CT03,01130275.JPG,2026-01-13 15:29:18,human_labelled,0.928,0,False,retrieval,CT03
CT04,4,CT04,05140001.JPG,2025-05-14 11:39:33,human_labelled,0.959,0,False,install,CT04
CT04,4,CT04,05140002.JPG,2025-05-14 11:39:34,human_labelled,0.928,0,False,install,CT04
CT04,4,CT04,05140003.JPG,2025-05-14 11:39:35,human_labelled,0.853,0,False,install,CT04
CT04,4,CT04,06270009.JPG,2025-06-27 13:35:51,human_labelled,0.968,0,False,mid_visit,CT04
CT04,4,CT04,06270010.JPG,2025-06-27 13:35:52,human_labelled,0.947,0,False,mid_visit,CT04
CT04,4,CT04,06270013.JPG,2025-06-27 13:40:35,human_labelled,0.94,0,False,mid_visit,CT04
CT04,4,CT04,06270014.JPG,2025-06-27 13:40:36,human_labelled,0.938,0,False,mid_visit,CT04
CT04,4,CT04,06270015.JPG,2025-06-27 13:40:37,human_labelled,0.952,0,False,mid_visit,CT04
CT04,4,CT04,06270017.JPG,2025-06-27 13:47:10,human_labelled,0.972,0,False,mid_visit,CT04
CT04,4,CT04,06270018.JPG,2025-06-27 13:47:11,human_labelled,0.967,0,False,mid_visit,CT04
CT04,4,CT04,06270019.JPG,2025-06-27 13:47:12,human_labelled,0.962,0,False,mid_visit,CT04
CT04,4,CT04,07220025.JPG,2025-07-22 11:12:32,human_labelled,0.973,0,False,mid_visit,CT04
CT04,4,CT04,07220026.JPG,2025-07-22 11:12:33,human_labelled,0.963,0,False,mid_visit,CT04
CT04,4,CT04,07220029.JPG,2025-07-22 11:14:32,human_labelled,0.907,0,False,mid_visit,CT04
CT04,4,CT04,07220030.JPG,2025-07-22 11:14:33,human_labelled,0.974,0,False,mid_visit,CT04
CT04,4,CT04,07220031.JPG,2025-07-22 11:14:34,human_labelled,0.973,0,False,mid_visit,CT04
CT04,4,CT04,09050097.JPG,2025-09-05 14:04:03,human_labelled,0.973,0,False,mid_visit,CT04
CT04,4,CT04,09050098.JPG,2025-09-05 14:04:04,human_labelled,0.979,0,False,mid_visit,CT04
CT04,4,CT04,09050099.JPG,2025-09-05 14:04:04,human_labelled,0.976,0,False,mid_visit,CT04
CT04,4,CT04,09300129.JPG,2025-09-30 15:14:34,human_labelled,0.976,0,False,mid_visit,CT04
CT04,4,CT04,09300130.JPG,2025-09-30 15:14:35,human_labelled,0.977,0,False,mid_visit,CT04
CT04,4,CT04,09300131.JPG,2025-09-30 15:14:36,human_labelled,0.954,0,False,mid_visit,CT04
CT04,4,CT04,09300133.JPG,2025-09-30 15:16:39,human_labelled,0.964,0,False,mid_visit,CT04
CT04,4,CT04,09300134.JPG,2025-09-30 15:16:40,human_labelled,0.956,0,False,mid_visit,CT04
CT04,4,CT04,09300135.JPG,2025-09-30 15:16:40,human_labelled,0.974,0,False,mid_visit,CT04
CT04,4,CT04,09300137.JPG,2025-09-30 15:17:16,human_labelled,0.961,0,False,mid_visit,CT04
CT04,4,CT04,09300138.JPG,2025-09-30 15:17:16,human_labelled,0.979,0,False,mid_visit,CT04
CT04,4,CT04,09300139.JPG,2025-09-30 15:17:17,human_labelled,0.975,0,False,mid_visit,CT04
CT04,4,CT04,10260225.JPG,2025-10-26 14:35:36,human_labelled,0.976,0,False,mid_visit,CT04
CT04,4,CT04,10260226.JPG,2025-10-26 14:35:37,human_labelled,0.976,0,False,mid_visit,CT04
CT04,4,CT04,10260227.JPG,2025-10-26 14:35:37,human_labelled,0.959,0,False,mid_visit,CT04
CT04,4,CT04,11210257.JPG,2025-11-21 12:16:01,human_labelled,0.966,0,False,retrieval,CT04
CT04,4,CT04,11210258.JPG,2025-11-21 12:16:02,human_labelled,0.977,0,False,retrieval,CT04
CT04,4,CT04,11210259.JPG,2025-11-21 12:16:03,human_labelled,0.976,0,False,retrieval,CT04
CT05,5,CT05,07110001.JPG,2025-07-11 20:24:09,counter_0001,,0,False,install,CT05
CT06,6,CT06,05140001.JPG,2025-05-14 13:55:11,human_labelled,0.977,0,False,install,CT06
CT06,6,CT06,05140002.JPG,2025-05-14 13:55:13,human_labelled,0.978,0,False,install,CT06
CT06,6,CT06,05140003.JPG,2025-05-14 13:55:15,human_labelled,0.974,0,False,install,CT06
CT06,6,CT06,05140004.JPG,2025-05-14 13:55:17,human_labelled,0.976,0,False,install,CT06
CT06,6,CT06,05140005.JPG,2025-05-14 13:55:18,human_labelled,0.976,0,False,install,CT06
CT06,6,CT06,05140006.JPG,2025-05-14 13:55:20,human_labelled,0.976,0,False,install,CT06
CT06,6,CT06,05140007.JPG,2025-05-14 13:55:24,human_labelled,0.977,0,False,install,CT06
CT06,6,CT06,05140008.JPG,2025-05-14 13:55:26,human_labelled,0.924,0,False,install,CT06
CT06,6,CT06,05140009.JPG,2025-05-14 13:55:28,human_labelled,0.966,0,False,install,CT06
CT06,6,CT06,05140010.JPG,2025-05-14 13:55:30,human_labelled,0.818,0,False,install,CT06
CT06,6,CT06,11130013.JPG,2025-11-13 16:02:41,human_labelled,0.956,0,False,retrieval,CT06
CT06,6,CT06,11130014.JPG,2025-11-13 16:02:43,human_labelled,0.975,0,False,retrieval,CT06
CT06,6,CT06,11130015.JPG,2025-11-13 16:02:45,human_labelled,0.952,0,False,retrieval,CT06
CT06,6,CT06,11130016.JPG,2025-11-13 16:02:46,human_labelled,0.731,0,False,retrieval,CT06
CT06,6,CT06,11130017.JPG,2025-11-13 16:02:48,human_labelled,0.857,0,False,retrieval,CT06
CT06,6,CT06,11130018.JPG,2025-11-13 16:02:49,human_labelled,0.949,0,False,retrieval,CT06
CT06,6,CT06,11130019.JPG,2025-11-13 16:02:52,human_labelled,0.926,0,False,retrieval,CT06
CT06,6,CT06,11130020.JPG,2025-11-13 16:02:54,human_labelled,0.861,0,False,retrieval,CT06
CT06,6,CT06,11130021.JPG,2025-11-13 16:02:56,human_labelled,0.853,0,False,retrieval,CT06
CT07,7,CT07,06040001.JPG,2025-06-04 13:59:18,human_labelled,0.8,0,False,install,CT07
CT07,7,CT07,06040002.JPG,2025-06-04 13:59:19,human_labelled,0.57,0,False,install,CT07
CT08,8,CT08,08130001.JPG,2025-08-13 08:54:58,counter_0001,,0,True,install,CT08
CT08,8,CT08,08290150.JPG,2025-08-29 14:44:00,person_detection,0.291,0,True,mid_visit,CT08
CT08,8,CT08,08290222.JPG,2025-08-29 23:55:30,human_labelled,0.425,0,True,mid_visit,CT08
CT08,8,CT08,09090001.JPG,2025-09-09 07:13:24,counter_0001,,0,True,mid_visit,CT08
CT08,8,CT08,10270001.JPG,2025-10-27 23:36:15,counter_0001,,0,True,mid_visit,CT08
CT08,8,CT08,01130962.JPG,2026-01-13 12:45:30,human_labelled,0.38,0,True,retrieval,CT08
CT08,8,CT08,01130963.JPG,2026-01-13 12:45:31,human_labelled,0.498,0,True,retrieval,CT08
CT08,8,CT08,01130964.JPG,2026-01-13 12:45:32,human_labelled,0.921,0,True,retrieval,CT08
CT09,9,CT09,05160001.JPG,2025-05-16 16:49:20,counter_0001,,0,False,install,CT09
CT09,9,CT09,11200060.JPG,2025-11-20 15:43:23,human_labelled,0.539,0,False,retrieval,CT09
CT09,9,CT09,11200063.JPG,2025-11-20 15:44:03,human_labelled,0.972,0,False,retrieval,CT09
CT09,9,CT09,11200064.JPG,2025-11-20 15:44:05,human_labelled,0.969,0,False,retrieval,CT09
CT09,9,CT09,11200065.JPG,2025-11-20 15:44:08,human_labelled,0.915,0,False,retrieval,CT09
CT09,9,CT09,11200067.JPG,2025-11-20 15:44:44,human_labelled,0.894,0,False,retrieval,CT09
CT09,9,CT09,11200068.JPG,2025-11-20 15:44:48,person_detection,0.268,0,False,retrieval,CT09
CT09,9,CT09,11200069.JPG,2025-11-20 15:44:51,human_labelled,0.761,0,False,retrieval,CT09
CT09,9,CT09,11200070.JPG,2025-11-20 15:44:54,human_labelled,0.919,0,False,retrieval,CT09
CT09,9,CT09,11210074.JPG,2025-11-21 11:43:26,human_labelled,0.901,0,False,retrieval,CT09
CT09,9,CT09,11210075.JPG,2025-11-21 11:43:29,human_labelled,0.953,0,False,retrieval,CT09
CT09,9,CT09,11210076.JPG,2025-11-21 11:43:30,human_labelled,0.953,0,False,retrieval,CT09
CT09,9,CT09,11210077.JPG,2025-11-21 11:43:34,human_labelled,0.973,0,False,retrieval,CT09
CT09,9,CT09,11210078.JPG,2025-11-21 11:43:36,human_labelled,0.98,0,False,retrieval,CT09
CT09,9,CT09,11210079.JPG,2025-11-21 11:43:38,human_labelled,0.934,0,False,retrieval,CT09
CT09,9,CT09,11210080.JPG,2025-11-21 11:43:40,human_labelled,0.925,0,False,retrieval,CT09
CT09,9,CT09,11210081.JPG,2025-11-21 11:43:41,human_labelled,0.961,0,False,retrieval,CT09
CT09,9,CT09,11210082.JPG,2025-11-21 11:43:43,human_labelled,0.961,0,False,retrieval,CT09
CT10,10,CT10,06080001.JPG,2025-06-08 20:59:25,counter_0001,,0,False,install,CT10
CT10,10,CT10,06090005.JPG,2025-06-09 15:19:18,human_labelled,0.964,0,False,install,CT10
CT10,10,CT10,06090006.JPG,2025-06-09 15:19:19,human_labelled,0.943,0,False,install,CT10
CT10,10,CT10,06090007.JPG,2025-06-09 15:19:20,human_labelled,0.968,0,False,install,CT10
CT10,10,CT10,06090009.JPG,2025-06-09 15:19:35,human_labelled,0.969,0,False,install,CT10
CT10,10,CT10,06090010.JPG,2025-06-09 15:19:36,human_labelled,0.972,0,False,install,CT10
CT10,10,CT10,06090011.JPG,2025-06-09 15:19:37,human_labelled,0.969,0,False,install,CT10
CT10,10,CT10,06090013.JPG,2025-06-09 16:38:59,human_labelled,0.97,0,False,install,CT10
CT10,10,CT10,06090014.JPG,2025-06-09 16:39:00,human_labelled,0.976,0,False,install,CT10
CT10,10,CT10,06090015.JPG,2025-06-09 16:39:01,human_labelled,0.975,0,False,install,CT10
CT10,10,CT10,07040025.JPG,2025-07-04 09:47:16,human_labelled,0.977,0,False,mid_visit,CT10
CT10,10,CT10,07040026.JPG,2025-07-04 09:47:16,human_labelled,0.971,0,False,mid_visit,CT10
CT10,10,CT10,07040027.JPG,2025-07-04 09:47:17,human_labelled,0.976,0,False,mid_visit,CT10
CT10,10,CT10,07040029.JPG,2025-07-04 10:16:21,human_labelled,0.958,0,False,mid_visit,CT10
CT10,10,CT10,07040030.JPG,2025-07-04 10:16:22,human_labelled,0.973,0,False,mid_visit,CT10
CT10,10,CT10,07040031.JPG,2025-07-04 10:16:22,human_labelled,0.967,0,False,mid_visit,CT10
