deployment,original_path,new_path,action
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080030.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080030.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080031.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080031.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080032.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080032.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080033.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080033.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080034.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080034.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080035.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080035.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080036.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080036.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080037.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080037.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080038.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080038.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080039.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080039.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080040.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080040.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080041.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080041.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080042.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080042.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080043.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080043.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080044.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080044.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080045.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080045.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080046.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080046.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080047.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080047.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080048.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080048.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080049.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080049.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080050.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080050.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080051.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080051.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080052.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080052.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080053.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080053.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080054.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080054.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080055.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080055.JPG,moved
